title,matched_title,gutenberg_id,download_url
Charlotte Temple,Charlotte Temple,171,https://www.gutenberg.org/files/171/171-0.txt
The Sorrows of Satan,"The Sorrows of Satan: or, The Strange Experience of One Geoffrey Tempest, Millionaire: A Romance",42332,https://www.gutenberg.org/ebooks/42332.txt.utf-8
Coming Attraction,Coming Attraction,51082,https://www.gutenberg.org/ebooks/51082.txt.utf-8
Red Nails,Red Nails,32759,https://www.gutenberg.org/files/32759/32759-0.txt
Aunt Jane's Nieces and Uncle John,Aunt Jane's Nieces and Uncle John,10124,https://www.gutenberg.org/ebooks/10124.txt.utf-8
The Doings of Raffles Haw,The doings of Raffles Haw,8394,https://www.gutenberg.org/files/8394/8394-0.txt
The Altar of the Dead,The Altar of the Dead,642,https://www.gutenberg.org/files/642/642-0.txt
Martin Chuzzlewit,Martin Chuzzlewit,968,https://www.gutenberg.org/files/968/968-0.txt
The Oakdale Affair,The Oakdale Affair,363,https://www.gutenberg.org/files/363/363-0.txt
Daisy Miller,Daisy Miller: A Study,208,https://www.gutenberg.org/files/208/208-0.txt
McTeague,McTeague: A Story of San Francisco,165,https://www.gutenberg.org/files/165/165-0.txt
The Fatal Dowry,The Fatal Dowry,44015,https://www.gutenberg.org/files/44015/44015-0.txt
The Voyages of Doctor Dolittle,The Voyages of Doctor Dolittle,1154,https://www.gutenberg.org/files/1154/1154-0.txt
The Canterville Ghost,The Canterville Ghost,14522,https://www.gutenberg.org/ebooks/14522.txt.utf-8
Far from the Madding Crowd,Far from the Madding Crowd,107,https://www.gutenberg.org/files/107/107-0.txt
The Masque of the Red Death,The Masque of the Red Death,1064,https://www.gutenberg.org/files/1064/1064-0.txt
The Rose and the Ring,The Rose and the Ring,897,https://www.gutenberg.org/files/897/897-0.txt
Ralph the Heir,London Clubs: Their History & Treasures,60472,https://www.gutenberg.org/files/60472/60472-0.txt
The Inside of the Cup,The Inside of the Cup — Complete,5364,https://www.gutenberg.org/files/5364/5364-0.txt
Poor Folk,Poor Folk,2302,https://www.gutenberg.org/files/2302/2302-0.txt
The Admirable Crichton,The Admirable Crichton,51566,https://www.gutenberg.org/ebooks/51566.txt.utf-8
The Warden,The Warden,26287,https://www.gutenberg.org/files/26287/26287-readme.txt
Phantastes,Phantastes: A Faerie Romance for Men and Women,325,https://www.gutenberg.org/files/325/325-0.txt
